Vulnerabilidad Europa
2876
Reg1_Dev21_Cpx1_beds_priv_A_nr,1,I_T1(m).fvu
Reg1_Dev21_Cpx1_beds_priv_C2_nr,1,I_C1(m).fvu
Reg1_Dev21_Cpx1_beds_priv_C3_nr,1,I_C1(m).fvu
Reg1_Dev21_Cpx1_beds_priv_PC1_nr,1,I_C1(m).fvu
Reg1_Dev21_Cpx1_beds_priv_PC2_nr,1,I_C1(m).fvu
Reg1_Dev21_Cpx1_beds_priv_S2_nr,1,I_C1(m).fvu
Reg1_Dev21_Cpx1_beds_priv_S5_nr,1,I_C1(m).fvu
Reg1_Dev21_Cpx1_beds_priv_UCB_nr,1,I_M1(m).fvu
Reg1_Dev21_Cpx1_beds_priv_UFB1_nr,1,I_M1(m).fvu
Reg1_Dev21_Cpx1_beds_priv_W1_nr,1,I_W1(m).fvu
Reg1_Dev21_Cpx1_beds_priv_W4_nr,1,I_W1(m).fvu
Reg1_Dev21_Cpx1_beds_pub_A_nr,1,I_T1(m).fvu
Reg1_Dev21_Cpx1_beds_pub_C2_nr,1,I_C1(m).fvu
Reg1_Dev21_Cpx1_beds_pub_C3_nr,1,I_C1(m).fvu
Reg1_Dev21_Cpx1_beds_pub_PC1_nr,1,I_C1(m).fvu
Reg1_Dev21_Cpx1_beds_pub_PC2_nr,1,I_C1(m).fvu
Reg1_Dev21_Cpx1_beds_pub_S2_nr,1,I_C1(m).fvu
Reg1_Dev21_Cpx1_beds_pub_S5_nr,1,I_C1(m).fvu
Reg1_Dev21_Cpx1_beds_pub_UCB_nr,1,I_M1(m).fvu
Reg1_Dev21_Cpx1_beds_pub_UFB1_nr,1,I_M1(m).fvu
Reg1_Dev21_Cpx1_beds_pub_W1_nr,1,I_W1(m).fvu
Reg1_Dev21_Cpx1_beds_pub_W4_nr,1,I_W1(m).fvu
Reg1_Dev21_Cpx1_edu_priv_A_nr,1,I_T1(m).fvu
Reg1_Dev21_Cpx1_edu_priv_C2_nr,1,I_C1(m).fvu
Reg1_Dev21_Cpx1_edu_priv_C3_nr,1,I_C1(m).fvu
Reg1_Dev21_Cpx1_edu_priv_PC1_nr,1,I_C1(m).fvu
Reg1_Dev21_Cpx1_edu_priv_PC2_nr,1,I_C1(m).fvu
Reg1_Dev21_Cpx1_edu_priv_S2_nr,1,I_C1(m).fvu
Reg1_Dev21_Cpx1_edu_priv_S5_nr,1,I_C1(m).fvu
Reg1_Dev21_Cpx1_edu_priv_UCB_nr,1,I_M1(m).fvu
Reg1_Dev21_Cpx1_edu_priv_UFB1_nr,1,I_M1(m).fvu
Reg1_Dev21_Cpx1_edu_priv_W1_nr,1,I_W1(m).fvu
Reg1_Dev21_Cpx1_edu_priv_W4_nr,1,I_W1(m).fvu
Reg1_Dev21_Cpx1_edu_pub_A_nr,1,I_T1(m).fvu
Reg1_Dev21_Cpx1_edu_pub_C2_nr,1,I_C1(m).fvu
Reg1_Dev21_Cpx1_edu_pub_C3_nr,1,I_C1(m).fvu
Reg1_Dev21_Cpx1_edu_pub_PC1_nr,1,I_C1(m).fvu
Reg1_Dev21_Cpx1_edu_pub_PC2_nr,1,I_C1(m).fvu
Reg1_Dev21_Cpx1_edu_pub_S2_nr,1,I_C1(m).fvu
Reg1_Dev21_Cpx1_edu_pub_S5_nr,1,I_C1(m).fvu
Reg1_Dev21_Cpx1_edu_pub_UCB_nr,1,I_M1(m).fvu
Reg1_Dev21_Cpx1_edu_pub_UFB1_nr,1,I_M1(m).fvu
Reg1_Dev21_Cpx1_edu_pub_W1_nr,1,I_W1(m).fvu
Reg1_Dev21_Cpx1_edu_pub_W4_nr,1,I_W1(m).fvu
Reg1_Dev21_Cpx1_emp_gov_A_nr,1,I_T1(m).fvu
Reg1_Dev21_Cpx1_emp_gov_C2_nr,1,I_C1(m).fvu
Reg1_Dev21_Cpx1_emp_gov_C3_nr,1,I_C1(m).fvu
Reg1_Dev21_Cpx1_emp_gov_PC1_nr,1,I_C1(m).fvu
Reg1_Dev21_Cpx1_emp_gov_PC2_nr,1,I_C1(m).fvu
Reg1_Dev21_Cpx1_emp_gov_S2_nr,1,I_C1(m).fvu
Reg1_Dev21_Cpx1_emp_gov_S5_nr,1,I_C1(m).fvu
Reg1_Dev21_Cpx1_emp_gov_UCB_nr,1,I_M1(m).fvu
Reg1_Dev21_Cpx1_emp_gov_UFB1_nr,1,I_M1(m).fvu
Reg1_Dev21_Cpx1_emp_gov_W1_nr,1,I_W1(m).fvu
Reg1_Dev21_Cpx1_emp_gov_W4_nr,1,I_W1(m).fvu
Reg1_Dev21_Cpx1_emp_ind_A_nr,1,I_T1(m).fvu
Reg1_Dev21_Cpx1_emp_ind_C2_nr,1,I_C1(m).fvu
Reg1_Dev21_Cpx1_emp_ind_C3_nr,1,I_C1(m).fvu
Reg1_Dev21_Cpx1_emp_ind_PC1_nr,1,I_C1(m).fvu
Reg1_Dev21_Cpx1_emp_ind_PC2_nr,1,I_C1(m).fvu
